study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
Cotner_et_al_2004,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Lewis_et_al_2007,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_et_al_2010,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Burns_and_Swart_1992,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Rosenfeld_1979,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Grady_1981,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Buzzelli_1998,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Spivak_et_al_2009,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
McGlathery_et_al_2012,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Townsend_and_Fonseca_1998,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Larned_2003,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Orem_et_al_1999,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Pulich_1985,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Hebert_et_al_2007,Hebert_et_al_2007_article,synthesis source,Article,Small-scale heterogeneity in the geochemistry of seagrass vegetated and non-vegetated estuarine sediments: causes and consequences,Andrew B. Hebert and John W. Morse and Peter M. Eldridge,NA,2006,10.1007/s10498-006-9007-3,https://doi.org/10.1007/s10498-006-9007-3,nov,Springer Nature,13,1,19--39,Aquatic Geochemistry,NA,NA,NA,NA,NA,NA
Yarbro_and_Carlson_2008,Yarbro_and_Carlson_2008_article,synthesis source,Article,"Community Oxygen and Nutrient Fluxes in Seagrass Beds of Florida Bay, {USA}",Laura A. Yarbro and Paul R. Carlson,NA,2008,10.1007/s12237-008-9071-6,https://doi.org/10.1007/s12237-008-9071-6,aug,Springer Nature,31,5,877--897,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Kairis_and_Rybczyk_2010,Kairis_and_Rybczyk_2010_article,synthesis source,Article,"Sea level rise and eelgrass (Zostera marina) production: A spatially explicit relative elevation model for Padilla Bay, {WA}",Peter A. Kairis and John M. Rybczyk,NA,2010,10.1016/j.ecolmodel.2009.01.025,https://doi.org/10.1016/j.ecolmodel.2009.01.025,apr,Elsevier {BV},221,7,1005--1016,Ecological Modelling,NA,NA,NA,NA,NA,NA
Cotner_et_al_2004,Cotner_et_al_2004_article,synthesis source,Article,"Nutrient, sulfur and carbon dynamics in a hypersaline lagoon",James B Cotner and Michael W Suplee and Nai Wei Chen and David E Shormann,NA,2004,10.1016/j.ecss.2003.11.008,https://doi.org/10.1016/j.ecss.2003.11.008,apr,Elsevier {BV},59,4,639--652,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Lewis_et_al_2007,Lewis_et_al_2007_article,synthesis source,Article,Florida seagrass habitat evaluation: A comparative survey for chemical quality,Michael A. Lewis and Darrin D. Dantin and Cynthia A. Chancy and Kathryn C. Abel and Christopher G. Lewis,NA,2007,10.1016/j.envpol.2006.04.041,https://doi.org/10.1016/j.envpol.2006.04.041,mar,Elsevier {BV},146,1,206--218,Environmental Pollution,NA,NA,NA,NA,NA,NA
Fourqurean_et_al_2010,Fourqurean_et_al_2010_article,synthesis source,Article,Epiphyte loads on seagrasses and microphytobenthos abundance are not reliable indicators of nutrient availability in oligotrophic coastal ecosystems,James W. Fourqurean and Meredith F. Muth and Joseph N. Boyer,NA,2010,10.1016/j.marpolbul.2010.03.003,https://doi.org/10.1016/j.marpolbul.2010.03.003,jul,Elsevier {BV},60,7,971--983,Marine Pollution Bulletin,NA,NA,NA,NA,NA,NA
Fourqurean_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Burns_and_Swart_1992,Burns_and_Swart_1992_article,synthesis source,Article,Diagenetic processes in Holocene carbonate sediments: Florida Bay mudbanks and islands,STEPHEN J. BURNS and PETER K. SWART,NA,1992,10.1111/j.1365-3091.1992.tb01039.x,https://doi.org/10.1111/j.1365-3091.1992.tb01039.x,apr,Wiley,39,2,285--304,Sedimentology,NA,NA,NA,NA,NA,NA
Rosenfeld_1979,Rosenfeld_1979_article,synthesis source,Article,Interstitial Water and Sediment Chemistry of Two Cores from Florida Bay,Jeffrey K. Rosenfeld (2),NA,1979,10.1306/212f7897-2b24-11d7-8648000102c1865d,https://doi.org/10.1306/212f7897-2b24-11d7-8648000102c1865d,NA,Society for Sedimentary Geology,NA,NA,NA,{SEPM} Journal of Sedimentary Research,NA,NA,NA,NA,NA,NA
Grady_1981,Grady_1981_article,synthesis source,Article,"Properties of Sea Grass and Sand Flat Sediments from the Intertidal Zone of St. Andrew Bay, Florida",John R. Grady,NA,1981,10.2307/1352158,https://doi.org/10.2307/1352158,dec,Springer Nature,4,4,335,Estuaries,NA,NA,NA,NA,NA,NA
Buzzelli_1998,Buzzelli_1998_article,synthesis source,Article,Dynamic Simulation of Littoral Zone Habitats in Lower Chesapeake Bay. I. Ecosystem Characterization Related to Model Development,Christopher P. Buzzelli,NA,1998,10.2307/1353271,https://doi.org/10.2307/1353271,dec,Springer Nature,21,4,659,Estuaries,NA,NA,NA,NA,NA,NA
Spivak_et_al_2009,Spivak_et_al_2009_article,synthesis source,Article,Epifaunal community composition and nutrient addition alter sediment organic matter composition in a natural eelgrass Zostera marina bed: a field experiment,AC Spivak and EA Canuel and JE Duffy and JG Douglass and JP Richardson,NA,2009,10.3354/meps07813,https://doi.org/10.3354/meps07813,feb,Inter-Research Science Center,376,NA,55--67,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
McGlathery_et_al_2012,McGlathery_et_al_2012_article,synthesis source,Article,Recovery trajectories during state change from bare sediment to eelgrass dominance,KJ McGlathery and LK Reynolds and LW Cole and RJ Orth and SR Marion and A Schwarzschild,NA,2012,10.3354/meps09574,https://doi.org/10.3354/meps09574,feb,Inter-Research Science Center,448,NA,209--221,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Townsend_and_Fonseca_1998,Townsend_and_Fonseca_1998_article,synthesis source,Article,Bioturbation as a potential mechanism influencing spatial heterogeneity of North Carolina seagrass beds,EC Townsend and MS Fonseca,NA,1998,10.3354/meps169123,https://doi.org/10.3354/meps169123,NA,Inter-Research Science Center,169,NA,123--132,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Larned_2003,Larned_2003_article,synthesis source,Article,"Effects of the invasive, nonindigenous seagrass Zostera japonica on nutrient fluxes between the water column and benthos in a {NE} Pacific estuary",ST Larned,NA,2003,10.3354/meps254069,https://doi.org/10.3354/meps254069,NA,Inter-Research Science Center,254,NA,69--80,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Orem_et_al_1999,Orem_et_al_1999_article,synthesis source,Article,Geochemistry of Florida Bay sediments: nutrient history at five sites in eastern and central Florida Bay,"Orem, W. H., Holmes, C. W., Kendall, C., Lerch, H. E., Bates, A. L., Silva, S. R., Boylan, A., Corum, M., Marot, M., and Hedgeman, C.",NA,1999,NA,https://www.jstor.org/stable/4299024,NA,NA,15,NA,NA,Journal of Coastal Research,NA,NA,NA,NA,NA,NA
Pulich_1985,Pulich_1985_article,synthesis source,Article,Subtropical seagrasses and trace metals cycling,"Pulich, W. M., Jr.",NA,1987,NA,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C9&q=Pulich%2C+W.+M.%2C+Jr.+%281987%29.+Subtropical+seagrasses+and+trace+metals+cycling.+In+%27Proceedings+of+a+symposium+on+subtropical-tropical+seagrasses+of+the+southeastern+United+States.++Florida+Marine+Research+Publication+No.+42%27.+%28Eds+M.+J.+Durako%2C+R.+C.+Phillips+and+R.+R.+Lewis%2C+III.%29+pp.+39-52.+%28Florida+Department+of+Natural+Resources%2C+Bureau+of+Marine+Research%3A+St.+Petersburgh.%29&btnG=,NA,NA,42,NA,NA,Florida Marine Research Publication,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2020_data,primary dataset,Misc,Dataset: Head of tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,2021,10.25573/SERC.13483332,https://smithsonian.figshare.com/articles/dataset/Dataset_Head_of_tide_bottleneck_of_particulate_material_transport_from_watersheds_to_estuaries/13483332,jan,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2015_article,associated source,Article,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,2015,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,dec,American Geophysical Union ({AGU}),42,24,"10,671--10,679",Geophysical Research Letters,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Drexler_et_al_2019_article,associated source,Article,"Carbon accumulation and vertical accretion in a restored versus historic salt marsh in southern Puget Sound, Washington, United States",Judith Z. Drexler and Isa Woo and Christopher C. Fuller and Glynnis Nakai,NA,2019,10.1111/rec.12941,https://doi.org/10.1111/rec.12941,mar,Wiley,27,5,1117--1127,Restoration Ecology,NA,NA,NA,NA,NA,NA
Drexler_et_al_2013,Drexler_et_al_2013_combined,combined dataset and manuscript,Article,"A Long-Term Comparison of Carbon Sequestration Rates in Impounded and Naturally Tidal Freshwater Marshes Along the Lower Waccamaw River, South Carolina",Judith Z. Drexler and Ken W. Krauss and M. Craig Sasser and Christopher C. Fuller and Christopher M. Swarzenski and Amber Powell and Kathleen M. Swanson and James Orlando,NA,2013,10.1007/s13157-013-0456-3,https://doi.org/10.1007/s13157-013-0456-3,jul,Springer Science and Business Media {LLC},33,5,965--974,Wetlands,NA,NA,NA,NA,NA,NA
Drexler_et_al_2009,Drexler_et_al_2009_article,associated source,Article,"Peat Accretion Histories During the Past 6,000~Years in Marshes of the Sacramento{\textendash}San Joaquin Delta, {CA}, {USA}",Judith Z. Drexler and Christian S. {de Fontaine} and Thomas A. Brown,NA,2009,10.1007/s12237-009-9202-8,https://doi.org/10.1007/s12237-009-9202-8,jul,Springer Science and Business Media {LLC},32,5,871--892,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2019_data,primary dataset,Misc,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,NA,2019,10.25573/DATA.9695918.V1,https://smithsonian.figshare.com/articles/Mangroves_marching_northward_the_impacts_of_rising_seas_and_temperatures_on_ecosystems_at_Kennedy_Space_Center/9695918/1,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2015_article,associated source,Article,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,NA,2015,10.1007/s12237-015-9993-8,https://doi.org/10.1007/s12237-015-9993-8,may,Springer Science and Business Media {LLC},39,2,385--396,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Craft_2007,Craft_2007_article,associated source,Article,"Freshwater input structures soil properties, vertical accretion, and nutrient accumulation of Georgia and U.S tidal marshes",Christopher Craft,NA,2007,10.4319/lo.2007.52.3.1220,https://doi.org/10.4319/lo.2007.52.3.1220,may,Wiley,52,3,1220--1230,Limnology and Oceanography,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2019_data,primary dataset,Misc,Dataset: Carbon sequestration and sediment accretion in San Francisco Bay tidal wetlands,John C. Callaway and {Evyan L. Borgnis} and {R. Eugene Turner} and Charles S. Milan,NA,2019,10.25573/DATA.9693251,https://smithsonian.figshare.com/articles/Dataset_Carbon_sequestration_and_sediment_accretion_in_San_Francisco_Bay_tidal_wetlands/9693251,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,2012,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,jun,Springer Science and Business Media {LLC},35,5,1163--1181,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Buffington_et_al_2020,Buffington_et_al_2020_data,primary dataset,Misc,"Dataset: Carbon stocks and accretion rates for wetland sediment at Miner Slough, Sacramento-San Joaquin Delta, California",Kevin Buffington and Christopher Janousek and Karen Thorne and Bruce Dugger,NA,2020,10.25573/SERC.11968740,https://smithsonian.figshare.com/articles/Dataset_Carbon_stocks_and_accretion_rates_for_wetland_sediment_at_Miner_Slough_Sacramento-San_Joaquin_Delta_California/11968740,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Breithaupt_et_al_2020,Breithaupt_et_al_2020_data,primary dataset,Misc,Dataset: Increasing rates of carbon burial in southwest Florida coastal wetlands,"Breithaupt, Joshua L. and Smoak, Joseph M. and Bianchi, Thomas S. and Vaughn, Derrick and Sanders, Christian J. and Radabaugh, Kara R. and  Michael J. Osland and Laura C. Feher and James C. Lynch and Donald R. Cahoon and Gordon H. Anderson and Kevin R.T. Whelan and Brad E. Rosenheim and Ryan P. Moyer and Lisa G. Chambers",NA,2020,10.25573/data.9894266,https://doi.org/10.25573/data.9894266,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA
Breithaupt_et_al_2014,Breithaupt_et_al_2014_article,associated source,Article,"Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L Breithaupt and Joseph M Smoak and Thomas J {Smith III} and Christian J Sanders,NA,2014,NA,NA,NA,Wiley Online Library,119,10,2032--2048,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2014,Breithaupt_et_al_2019_data,primary dataset,Misc,"Temporal variability of carbon and nutrient burial, sedient accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L. Breithaupt and Joseph M. Smoak and Christian J. Sanders and III {Thomas J. Smith},NA,2019,10.25573/serc.11310926,NA,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Boyd_and_Sommerfield_2016_article,synthesis source,Article,Marsh accretion and sediment accumulation in a managed tidal wetland complex of Delaware Bay,Brandon M. Boyd and Christopher K. Sommerfield,NA,2016,10.1016/j.ecoleng.2016.03.045,https://doi.org/10.1016/j.ecoleng.2016.03.045,jul,Elsevier {BV},92,NA,37--46,Ecological Engineering,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,Unger_et_al_2016_article,synthesis source,Article,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,NA,2016,10.1016/j.ecss.2016.10.001,https://doi.org/10.1016/j.ecss.2016.10.001,dec,Elsevier {BV},182,NA,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Boyd_2012,Boyd_2012_article,synthesis source,MastersThesis,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,University of Delaware,2012,NA,http://udspace.udel.edu/handle/19716/12831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2017_article,synthesis source,Article,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,NA,2017,10.1016/j.margeo.2016.11.008,https://doi.org/10.1016/j.margeo.2016.11.008,NA,Elsevier,383,NA,132--145,Marine Geology,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,2019,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0,NA,NA,NA,NA
Unger_et_al_2016,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,2019,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0,NA,NA,NA,NA
Boyd_2012,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,2019,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,2019,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0,NA,NA,NA,NA
Baustian_et_al_2021,Baustian_et_al_2021_data,primary dataset,Misc,Long-term soil carbon data and accretion from four marsh types in Mississippi River Delta in 2015,Melissa M. Baustian and Camille L. Stagg and Carey L. Perry and Leland C. Moss and Tim J. B. Carruthers and Mead A. Allison and Courtney T Hall,NA,2021,10.5066/P93U3B3E,https://www.sciencebase.gov/catalog/item/5b3299d4e4b040769c159bb0,NA,U.S. Geological Survey,NA,NA,NA,NA,"Land Use Change,Soil Sciences",NA,NA,NA,NA,NA
Baustian_et_al_2021,Baustian_et_al_2021_article,associated source,Article,Long-Term Carbon Sinks in Marsh Soils of Coastal Louisiana are at Risk to Wetland Loss,Melissa M. Baustian and Camille L. Stagg and Carey L. Perry and Leland C. Moss and Tim J. B. Carruthers,NA,2021,10.1029/2020jg005832,https://doi.org/10.1029/2020jg005832,mar,American Geophysical Union ({AGU}),126,3,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,2017,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,sep,Wiley,62,S1,S15--S28,Limnology and Oceanography,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,Abbott_et_al_2019_data,primary dataset,Misc,Dataset: Factors influencing blue carbon accumulation across a 32‐year chronosequence of created coastal marshes,Katherine M Abbott and Tracy Quirk and Ronald D. Delaune,NA,2019,10.25573/DATA.10005215,https://smithsonian.figshare.com/articles/Dataset_Factors_influencing_blue_carbon_accumulation_across_a_32_year_chronosequence_of_created_coastal_marshes/10005215,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
